"","disasterNumber","state.x","county","city","zipCode","validRegistrations","totalInspected","totalInspectedWithNoDamage","totalWithModerateDamage","totalWithMajorDamage","totalWithSubstantialDamage","approvedForFemaAssistance","totalApprovedIhpAmount","repairReplaceAmount","rentalAmount","otherNeedsAmount","approvedBetween1And10000","approvedBetween10001And25000","approvedBetween25001AndMax","totalMaxGrants","id","femaDeclarationString","state.y","declarationType","declarationDate","fyDeclared","incidentType","declarationTitle","ihProgramDeclared","iaProgramDeclared","paProgramDeclared","hmProgramDeclared","incidentBeginDate","incidentEndDate","disasterCloseoutDate"
"1",1460,"FL","Miami-Dade (County)","MIAMI","33170",309,302,309,0,0,0,116,193598.76,0,46292,147306.76,116,0,0,0,"624804b3cbab24a500aeb55e","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"2",1460,"FL","Miami-Dade (County)","MIAMI","33169",163,159,163,0,0,0,46,82108.8,0,19054,63054.8,46,0,0,0,"624804b3cbab24a500aeb55a","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"3",1460,"FL","Miami-Dade (County)","GLOUDS","33170",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"624804b3cbab24a500aeb55c","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"4",1460,"FL","Miami-Dade (County)","MIAMI","33173",3,3,3,0,0,0,2,2101.93,0,0,2101.93,2,0,0,0,"624804b3cbab24a500aeb561","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"5",1460,"FL","Miami-Dade (County)","PERRINE","33157",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"624804b3cbab24a500aeb54b","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"6",1460,"FL","Miami-Dade (County)","MIAMI","33125",37,36,37,0,0,0,15,23950.65,0,0,23950.65,15,0,0,0,"624804b3cbab24a500aeb525","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"7",1460,"FL","Miami-Dade (County)","MIAMI","33128",21,21,21,0,0,0,10,16777.97,0,0,16777.97,10,0,0,0,"624804b3cbab24a500aeb528","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"8",1460,"FL","Miami-Dade (County)","MIAMI","33196",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"624804b3cbab24a500aeb575","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"9",1460,"FL","Miami-Dade (County)","MIAMI","33136",881,872,881,0,0,0,471,749397.97,0,66286,683111.97,471,0,0,0,"624804b3cbab24a500aeb531","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"10",1460,"FL","Miami-Dade (County)","EL PORTAL","33138",4,4,4,0,0,0,2,1950.37,0,0,1950.37,2,0,0,0,"624804b3cbab24a500aeb533","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"11",1460,"FL","Miami-Dade (County)","LITTLE RIVER","33138",1,1,1,0,0,0,1,1363.82,0,0,1363.82,1,0,0,0,"624804b3cbab24a500aeb534","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"12",1460,"FL","Miami-Dade (County)","MIAMI SHORES","33150",3,3,3,0,0,0,2,2391.04,0,0,2391.04,2,0,0,0,"624804b3cbab24a500aeb545","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"13",1460,"FL","Miami-Dade (County)","MIAMI","33247",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"624804b3cbab24a500aeb576","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"14",1460,"FL","Miami-Dade (County)","MIAMI","33144",2,2,2,0,0,0,2,5325.68,0,1626,3699.68,2,0,0,0,"624804b3cbab24a500aeb53e","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"15",1460,"FL","Miami-Dade (County)","MIAMI","33146",2,2,2,0,0,0,1,6533.41,0,1304,5229.41,1,0,0,0,"624804b3cbab24a500aeb540","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"16",1460,"FL","Miami-Dade (County)","MIAMI","33147",1492,1457,1492,0,0,0,581,1184398.88,0,219560,964838.88,580,1,0,0,"624804b3cbab24a500aeb542","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"17",1460,"FL","Miami-Dade (County)","NORTH MIAMI BEACH","33160",7,7,7,0,0,0,3,5809.21,0,0,5809.21,3,0,0,0,"624804b3cbab24a500aeb54d","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"18",1460,"FL","Miami-Dade (County)","BISCAYNE PARK","33161",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"624804b3cbab24a500aeb54e","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"19",1460,"FL","Miami-Dade (County)","NORTH MIAMI","33161",53,50,53,0,0,0,24,36985.27,0,5860,31125.27,24,0,0,0,"624804b3cbab24a500aeb550","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"20",1460,"FL","Miami-Dade (County)","MIAMI","33165",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"624804b3cbab24a500aeb554","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"21",1460,"FL","Miami-Dade (County)","COCONUT GROVE","33133",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"624804b3cbab24a500aeb52d","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"22",1460,"FL","Miami-Dade (County)","MIAMI","33172",2,2,2,0,0,0,1,2499.52,0,1304,1195.52,1,0,0,0,"624804b3cbab24a500aeb560","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"23",1460,"FL","Miami-Dade (County)","MIAMI","33175",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"624804b3cbab24a500aeb563","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"24",1460,"FL","Miami-Dade (County)","MIAMI","33181",11,9,11,0,0,0,0,0,0,0,0,0,0,0,0,"624804b3cbab24a500aeb56a","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"25",1460,"FL","Miami-Dade (County)","MIAMI","33138",143,139,143,0,0,0,39,68627.11,0,14934,53693.11,39,0,0,0,"624804b3cbab24a500aeb535","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"26",1460,"FL","Miami-Dade (County)","MIAMI","33190",12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,"624804b3cbab24a500aeb573","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"27",1460,"FL","Miami-Dade (County)","MIAMI","33168",51,48,51,0,0,0,18,37496.12,0,14504,22992.12,18,0,0,0,"624804b3cbab24a500aeb558","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"28",1460,"FL","Miami-Dade (County)","NORTH MIAMI","33168",15,15,15,0,0,0,8,14950.33,0,6444,8506.33,8,0,0,0,"624804b3cbab24a500aeb559","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"29",1460,"FL","Miami-Dade (County)","MIAMI","33132",5,5,5,0,0,0,2,3803.52,0,2608,1195.52,2,0,0,0,"624804b3cbab24a500aeb52c","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"30",1460,"FL","Miami-Dade (County)","MIAMI","33133",76,73,76,0,0,0,21,34482.12,0,12004,22478.12,21,0,0,0,"624804b3cbab24a500aeb52f","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
"31",1460,"FL","Miami-Dade (County)","MIAMI","33143",11,11,11,0,0,0,5,18215.01,0,6788,11427.01,5,0,0,0,"624804b3cbab24a500aeb53c","DR-1460-FL","FL","DR","2003-04-25T16:45:00.000Z",2003,"Severe Storm(s)","SEVERE STORMS AND TORNADOES",1,1,0,1,"2003-03-27T18:00:00.000Z","2003-03-27T22:00:00.000Z","2010-11-08T00:00:00.000Z"
